PAR_MJ,FAPAR_FRACION,T_MIN_DEGC,VPD_PA,RH_PERCENTAGE,TA_DEGC
4.28365,0.0503286,20.82,2113.51,39.7641,26.8416
4.15569,0.0483647,20.8776,2227.15,37.7718,27.1809
4.16573,0.0465007,20.9975,2370.36,34.0507,27.2535
4.2857,0.0447318,21.0258,2445.79,29.7926,26.7193
4.26225,0.0430537,20.1913,2320.68,29.7086,25.8059
4.24887,0.041462,19.8258,2430.43,28.0054,26.1838
4.19429,0.0399528,19.8085,2476.88,25.4283,25.9081
4.04762,0.038522,19.6823,2553.92,20.1629,25.2719
4.23981,0.0371659,18.7287,2621.39,19.0282,25.474
4.24682,0.0358807,19.3646,2763.22,18.1032,26.1746
3.8304,0.0346631,18.3256,2582.52,18.1892,25.0478
4.23891,0.0335097,17.7301,2567.62,18.8287,25.0826
4.19937,0.0324172,16.704,2433.72,20.6125,24.5554
4.24604,0.0313826,17.5043,2470.65,20.6905,24.825
4.23597,0.030403,19.2836,2611.85,21.5064,25.9387
4.21529,0.0294757,20.0089,2546.46,23.4515,25.9342
4.2827,0.0285978,16.598,2123.92,27.4247,23.7779
4.22346,0.027767,17.3263,2311.11,20.5714,23.6817
4.26166,0.0269807,17.2563,2201.5,23.4816,23.494
4.30797,0.0262367,16.5985,2086.03,24.9592,22.9227
4.15434,0.0255328,16.1393,1977.58,27.38,22.5816
3.67434,0.0248669,16.362,2013.1,30.5674,23.6225
3.4436,0.024237,18.6661,2194.94,30.505,25.057
2.21811,0.0236411,20.9493,2145.09,33.5801,25.4331
3.76976,0.0230776,22.2401,3076.66,18.9269,28.1879
3.59149,0.0225447,23.3327,3115.2,20.3783,28.7155
3.81766,0.0220407,21.9901,2764.22,27.7526,28.329
3.97888,0.0215642,22.5277,2721.44,30.5659,28.7463
4.05133,0.0215642,22.298,2946.21,26.3535,29.1013
